ID;Startzeit;Fertigstellungszeit;E-Mail;Name;Wie alt sind Sie?;Sie sind…;In welchem Jahr sind Sie nach Zürich gezogen?;In welchem Kreis sind Sie wohnhaft?;In welchem Wohnverhältnis wohnen Sie?;"Wie gut sind Sie über das Abfall-, Entsorgung- und Recycling-System in Ihrem Quartier informiert?
1 = Schlecht, 10 = sehr gut"; Wie informieren Sie sich über Freizeitangebote in Ihrer Umgebung?;"Wie stark sind Sie in Ihrem Kreis engagiert? (Vereine, Kirchen, Nachhilfe, gemeinschaftliche Hobbys, Musikunterricht)
1 = nicht engagiert 10 = sehr engagiert";Wären Sie gerne engagierter in Ihrem Kreis ?;"Was würde Sie in ihrer Freizeit in ihrem Kreis interessieren?
Bitte wählen Sie an was auf Sie zutrifft.";Haben Sie schon einmal über ein Inserat Ihre Dienste angeboten oder einen Dienst in Anspruch genommen?;Wenn Sie die vorherige Frage mit «Ja» beantwortet haben, was für einen Dienst haben Sie angeboten oder in Anspruch genommen und wie waren Ihre Erfahrungen dabei?;Wären Sie dazu bereit, für Personen aus Ihrem Quartier/Kreis eine Dienstleitung anzubieten? (z.B Deutschkurs, Nachhilfe, Workshop ect.);Als abschliessende Frage, was hätte / hat Ihnen besonders geholfen als Sie neu in Zürich waren? (Wissenswerte Informationen für Neue in Zürich)
1;4.28.20 21:56:09;4.28.20 21:59:47;anonymous;;27;Männlich;4.1.2020;Kreis 3;WG;3;"Facebook;LinkedIn;Empfehlungen;";1;Ja;"Austausch und Lernen;Sport;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);";Nein;;Nein;Erfahrungsberichte / Informationen
2;4.29.20 21:00:11;4.29.20 21:14:44;anonymous;;28;Weiblich;3.1.2015;Kreis 3;WG;2;"RonOrp, Hello Zurich;Instagram;Tages Anzeiger;Republik;";4;Ja;"Austausch und Lernen;Kunst und Kultur;Sport;";Ja;"Ricardo, WG Zimmer Inserat, Will öppert Facebook Gruppe
Erfahrungen waren eigentlich immer positiv. Ich bekam schnelle Rückmeldungen und viele Inserenten.";Ja;"Ich habe das Glück viele enge Freunde in der Nachbarschaft zu haben, welche mir das Einleben vereinfacht haben. Was mir auch geholfen hat, war der enge Austausch im ganzen Haus. 
Informationen über den jeweiligen Kreis (Sportanlagen, Events etc) wären noch hilfreich gewesen."
3;4.29.20 21:44:45;4.29.20 21:47:54;anonymous;;24;Weiblich;9.1.2019;Kreis 3;WG;6;"Ronorp;Facebook;Instagram;";1;Nein;"Sport;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);";Ja;Food Delivery;Nein;
4;4.30.20 18:58:54;4.30.20 19:09:25;anonymous;;25;Weiblich;10.1.2017;Kreis 3;WG;4;"Facebook;LinkedIn;";2;Nein;"Sport;Shopping;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);";Nein;;Nein;profitiert habe ich vor allem von Personen die schon länger hier wohnen und Bescheid wissen was wo läuft, bspw. Location Tipps für Restaurants/Bars, spezielle Quartiergeschäfte oder Events
5;5.1.20 21:20:15;5.1.20 21:28:52;anonymous;;38;Männlich;6.1.2014;Kreis 3;Alleine;8;"Empfehlungen;";1;Nein;"Kunst und Kultur;";Nein;;Ja;Da ich aus dem Ausland hergezogen bin: Alle Informationen zu den Behördlichen Abläufen in der Schweiz
6;5.2.20 9:39:04;5.2.20 9:41:31;anonymous;;39;Männlich;10.1.2011;Kreis 3;Partner / Partnerin;10;"Ron Orp;Facebook;Instagram;Empfehlungen;";1;Nein;"Austausch und Lernen;Kunst und Kultur;Sport;Shopping;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);Öffentliche Anlässe;";Nein;;Ja;Die App Spontacts hat mir geholfen neue Kontakte aus der Umgebung für Aktivitäten in Sport zu knüpfen.
7;5.2.20 9:42:09;5.2.20 9:47:32;anonymous;;33;Weiblich;;Kreis 3;Partner / Partnerin;10;"Facebook;Empfehlungen;";1;Ja;"Politik;Kunst und Kultur;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);";Nein;;Ja;Ich war bereits schon in Zürich vernetzt
8;5.3.20 13:01:37;5.3.20 13:05:06;anonymous;;29;Männlich;5.3.2011;Kreis 3;Partner / Partnerin;10;"mund zu mund;";1;Ja;;Nein;;Ja;
9;5.3.20 13:17:52;5.3.20 13:20:36;anonymous;;29;Weiblich;9.4.2010;Kreis 3;Alleine;2;"Instagram;Empfehlungen;";1;Nein;"Märkte;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);Öffentliche Anlässe;";Nein;;Nein;Information zur richtigen Entsorgung und Entsorgungsmöglichkeiten in der Umgebung
10;5.4.20 12:18:07;5.4.20 12:20:22;anonymous;;23;Weiblich;2.1.2020;Kreis 3;WG;5;"Facebook;Instagram;";2;Nein;"Kunst und Kultur;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);Öffentliche Anlässe;";Nein;;Ja;
11;5.5.20 16:10:25;5.5.20 16:13:41;anonymous;;32;Männlich;6.1.2013;Kreis 3;Partner / Partnerin;7;"Empfehlungen;";2;Ja;"Austausch und Lernen;Kunst und Kultur;Sport;";Nein;;Ja;Informationen von Mitbewohnern / Freunden, die schon länger in der Stadt gewohnt hatten.
12;5.5.20 17:36:53;5.5.20 17:56:19;anonymous;;32;Weiblich;4.1.2008;Kreis 3;Partner / Partnerin;8;"Facebook;Instagram;Empfehlungen;";1;Nein;"Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);";Nein;;Ja;Tipps vom Freunden
13;5.5.20 18:20:59;5.5.20 18:23:53;anonymous;;30;Männlich;7.1.2016;Kreis 3;Partner / Partnerin;2;"Facebook;Instagram;LinkedIn;MeetUp ;Empfehlungen;";1;Nein;"Kunst und Kultur;Sport;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);";Nein;;Ja;Eine Stadtfühung
14;5.6.20 13:41:20;5.6.20 13:42:19;anonymous;;26;Weiblich;4.1.2020;Kreis 3;Partner / Partnerin;5;"Facebook;Empfehlungen;20min;";1;Ja;"Austausch und Lernen;Sport;Shopping;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);Öffentliche Anlässe;";Nein;;Ja;
15;5.6.20 20:35:18;5.6.20 20:36:55;anonymous;;24;Männlich;2.1.2020;Kreis 3;Partner / Partnerin;8;"Empfehlungen;";1;Nein;"Austausch und Lernen;Sport;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);";Nein;;Ja;Tipps von Bekannten
16;5.6.20 22:02:33;5.6.20 22:09:04;anonymous;;34;Männlich;2.1.2008;Kreis 3;Partner / Partnerin;8;"online;Empfehlungen;Tages Anzeiger;";1;Ja;"Kunst und Kultur;Sport;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);Öffentliche Anlässe;";Nein;;Ja;persönliche tipps von Freunden
17;5.7.20 17:30:37;5.7.20 17:32:44;anonymous;;32;Weiblich;2.1.2019;Kreis 3;WG;5;"Empfehlungen;Tages Anzeiger;";3;Ja;"Kunst und Kultur;Sport;Ausgangsmöglichkeiten (Cafes, Restaurants, Bars und Clubs);";Nein;;Ja;
